scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
32,PRT_1,9563461447.175228,126280000237.50584,3067307752.94244,18185721934.64712,96526170055.057,28676502499.21079,battery
32,PRT_2,317376298.5447957,4190771226.191696,101792722.90726572,603517580.518715,3203350453.5983906,951668208.0731713,battery
32,PRT_1,1457240780.7826076,1226302327.9607055,607780984.9320965,42552666.68560892,53508494.66469065,4829677715.449626,pumped_hydro
32,PRT_2,229444956.905766,193083317.80371687,95696115.38114962,6699987.334050247,8425000.462750493,760440697.1749386,pumped_hydro
33,PRT_1,10601202624.599318,139982774787.85355,3400144516.769277,20159073591.576942,107000325455.6374,31788219698.29312,battery
33,PRT_2,1167779426.195305,15419854728.52564,374544186.4831834,2220630264.794173,11786660729.731865,3501643188.3779864,battery
33,PRT_1,1487746201.10333,1251973355.3214903,620504080.972779,43443450.8306388,54628624.667914204,4930780670.202436,pumped_hydro
33,PRT_2,224630725.24811003,189032028.8424272,93688212.15941158,6559407.686694015,8248226.457819114,744485072.2290691,pumped_hydro
34,PRT_1,8280311877.918028,109336749218.4498,2655760674.1250844,15745705691.996172,83575052490.32025,24828916347.17649,battery
34,PRT_2,299712037.55347043,3957524833.7112,96127229.82320105,569927510.6111131,3025061089.463484,898701065.6569628,battery
34,PRT_1,1344936106.3853967,1131795307.933304,560941336.661371,39273274.94755046,49384773.89729921,4457470602.918954,pumped_hydro
34,PRT_2,228493022.4131473,192282242.58007568,95299085.80913617,6672190.039529584,8390046.334104663,757285736.8786042,pumped_hydro
35,PRT_1,782414775.1270105,10331336465.841106,250945425.8816151,1487827144.6602674,7897088523.298899,2346108611.226366,battery
35,PRT_2,312926640.1645297,4132016050.1060753,100365575.24497584,595056182.8903921,3158439049.5139065,938325691.8339256,battery
35,PRT_1,1320744213.5268996,1111437262.1515908,550851464.9923847,38566851.15892389,48496470.614122845,4377292332.193865,pumped_hydro
35,PRT_2,196578226.11166605,165425192.24424878,81988172.0700873,5740250.920568959,7218165.386122013,651511740.8972409,pumped_hydro
36,PRT_1,411492829.5148556,5433525810.282468,131978902.53679524,782488037.0975583,4153289795.497593,1233881186.1342854,battery
36,PRT_2,486958950.6970598,6430012475.016945,156183299.64397871,925993179.3398912,4914986351.380151,1460170006.8338697,battery
36,PRT_1,1100034761.3350916,925705076.64386,458798723.9450756,32121947.971107863,40392229.571191214,3645803386.168487,pumped_hydro
36,PRT_2,138430337.18803453,116492378.60534231,57736050.06815771,4042283.24874038,5083030.242180879,458794403.4205328,pumped_hydro
37,PRT_1,255286179.4785053,3370906965.354021,81878437.20170616,485448025.2153676,2576660899.3155384,765487977.7856649,battery
37,PRT_2,265494498.4985512,3505701938.429036,85152571.38917078,504859997.76779085,2679695762.0739675,796098116.960488,battery
37,PRT_1,872551002.4961164,734272153.0554396,363920578.3245861,25479229.28390113,32039242.435048915,2891862613.1815577,pumped_hydro
37,PRT_2,102045617.16538048,85873782.51992616,42560835.880169496,2979818.5661765942,3747017.949028562,338205909.1965979,pumped_hydro
38,PRT_1,160926006.40839338,2124935227.6601944,51614113.76341437,306014262.80237705,1624262422.8328893,482544427.0830813,battery
38,PRT_2,204611735.57985544,2701780120.1313505,65625523.38959616,389086331.1756095,2065192325.282513,613538202.5779681,battery
38,PRT_1,869650176.6634016,731831040.0159347,362710711.839257,25394522.70939378,31932726.87108723,2882248516.4135966,pumped_hydro
38,PRT_2,98257973.82108033,82686391.72503936,40981098.58985432,2869216.1682204967,3607939.28999502,325652666.8667933,pumped_hydro
