index,scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
645,80,PRT_2,404496.8877102048,756270.0775358427,13076942.22778234,48722.0198452631,322788.3830858184,18605216.34162312,hydro_reservoir
646,80,PRT_1,1947287.070350843,3119435.454466543,10411247.45537748,230289.95725445345,2263527.036698382,9317099.076496202,hydro_run_of_river
647,80,PRT_2,274027.35992037004,438975.1644966527,1465098.1342780346,32407.00868580356,318529.48002324183,1311126.6956590903,hydro_run_of_river
648,81,PRT_1,1963.13784812922,30.8372092287752,3.3835384044799173,4.129088074700915,14.015884091848502,3601.394716806136,ccgt
649,81,PRT_2,1212.456668567142,19.04541752127008,2.089712500716186,2.550172610671736,8.656372322106675,2224.263082032258,ccgt
650,81,PRT_1,544.6117500657581,4479.360579933501,50719.41718848307,62.01068445075985,131.71120176614215,2053.312637578515,chp_biofuel_extraction
651,81,PRT_2,361.250005068744,2971.23415352373,33643.03049688326,41.13271531407186,87.36622428708925,1361.99632241389,chp_biofuel_extraction
652,81,PRT_1,2313927.2005517874,4326248.128334975,74806737.06094985,278714.646295495,1846513.1434571545,106431266.77373992,hydro_reservoir
653,81,PRT_2,422520.0205315467,789967.1379344884,13659610.410972886,50892.92266720113,337170.8371375041,19434207.35609813,hydro_reservoir
654,81,PRT_1,2305957.5144964727,3694003.691976361,12328893.192252576,272707.0217481087,2680445.6615634747,11033213.826497415,hydro_run_of_river
655,81,PRT_2,311440.34529091825,498908.4916363945,1665128.1425227958,36831.54112014707,362018.3447105524,1490134.966577306,hydro_run_of_river
656,82,PRT_1,1328.492560676107,20.86812349498538,2.28970451738629,2.7942320988024294,9.48481420449579,2437.132009804876,ccgt
657,82,PRT_2,783.8342915932109,12.31256484285234,1.3509664799551906,1.6486467463522358,5.596209450424432,1437.951328423198,ccgt
658,82,PRT_1,384.512316001201,3162.56362553094,35809.437763728,43.78141289111437,92.9920796389094,1449.700631054178,chp_biofuel_extraction
659,82,PRT_2,244.93845040645903,2014.58679348768,22810.99416265948,27.88922742885933,59.23694752798854,923.474779212448,chp_biofuel_extraction
660,82,PRT_1,2313917.6443784125,4326230.261577037,74806428.12031038,278713.4952456774,1846505.5176339503,106430827.22852103,hydro_reservoir
661,82,PRT_2,422520.72088858526,789968.4473613047,13659633.052750388,50893.00702584656,337171.3960221901,19434239.56968152,hydro_reservoir
662,82,PRT_1,2305956.4490752267,3694001.985236322,12328887.495935684,272706.8957493195,2680444.4231175203,11033208.728823086,hydro_run_of_river
663,82,PRT_2,312137.12734058127,500024.6941023016,1668853.5153514664,36913.94392088237,362828.2843604952,1493468.8291034224,hydro_run_of_river
664,83,PRT_1,14374.242144926857,225.79235225412,24.77452124872509,30.233491692924684,102.6253515531006,26369.681460812124,ccgt
665,83,PRT_2,8619.809128094523,135.40101519027948,14.856549809779132,18.13013340399437,61.54139697747713,15813.120348823084,ccgt
666,83,PRT_1,4025.337651176986,33107.87692962407,374877.662169248,458.3337448462319,973.5046287323124,15176.456748655071,chp_biofuel_extraction
667,83,PRT_2,2707.3635323055387,22267.71177943676,252135.3982159031,308.2663304179948,654.7602111315708,10207.388574945277,chp_biofuel_extraction
668,83,PRT_1,2314586.8167596366,4327481.383808158,74828061.7319291,278794.0976706366,1847039.516973633,106461606.44413626,hydro_reservoir
669,83,PRT_2,422565.8536979888,790052.8301941621,13661092.147144144,50898.44331399178,337207.41198922007,19436315.49587173,hydro_reservoir
670,83,PRT_1,2306237.453282871,3694452.1368865455,12330389.896062676,272740.1278535902,2680771.062487293,11034553.237336185,hydro_run_of_river
671,83,PRT_2,325038.50269237603,520691.9127659157,1737831.2297046166,38439.68566873528,377824.84668765136,1555197.4741532153,hydro_run_of_river
672,84,PRT_1,1709.7533490341336,26.85701455147852,2.94682114358806,3.5961418455175647,12.20683753234574,3136.558486772051,ccgt
673,84,PRT_2,1011.16991694955,15.88358062809048,1.742787573839475,2.126804110853186,7.219279260819433,1855.0006563042464,ccgt
674,84,PRT_1,499.4554994321651,4107.956310743035,46514.03837637267,56.86909503650086,120.79042373025598,1883.06309727678,chp_biofuel_extraction
675,84,PRT_2,318.830496897793,2622.3392339811703,29692.523127931054,36.30273737946494,77.10731158671138,1202.0649360698346,chp_biofuel_extraction
676,84,PRT_1,2313943.7098870017,4326278.995114427,74807270.78971107,278716.6348600114,1846526.3179012144,106432026.13620389,hydro_reservoir
677,84,PRT_2,422522.6664439726,789972.0848808218,13659695.9504294,50893.24136977126,337172.94857474806,19434329.057338867,hydro_reservoir
678,84,PRT_1,2305968.0834407806,3694020.622782347,12328949.699531963,272708.27165202383,2680457.9469073024,11033264.3952619,hydro_run_of_river
679,84,PRT_2,311786.02151561464,499462.2439246432,1666976.3141506726,36872.42146296927,362420.1588510854,1491788.908455174,hydro_run_of_river
680,85,PRT_1,2365.7113513644035,37.16088301513441,4.077388258233337,4.975825074338016,16.890070214422984,4339.91956826216,ccgt
681,85,PRT_2,1418.4795790463245,22.281650576642143,2.4448003670488188,2.9835027222507224,10.127279337777146,2602.2140354244584,ccgt
682,85,PRT_1,675.975388272574,5559.809363033038,62953.24646007699,76.96803547405871,163.48073787053826,2548.584027547203,chp_biofuel_extraction
683,85,PRT_2,457.035991261214,3759.061391200475,42563.53100742047,52.03911710189396,110.53151102987808,1723.1317109327238,chp_biofuel_extraction
684,85,PRT_1,2314005.6255247965,4326394.756064928,74809272.4546016,278724.0926551764,1846575.7265597696,106434874.004435,hydro_reservoir
685,85,PRT_2,422528.1470327431,789982.3316971024,13659873.131873565,50893.90151169807,337177.3220827808,19434581.14219503,hydro_reservoir
686,85,PRT_1,2305996.398496124,3694065.981778911,12329101.087096944,272711.6202455537,2680490.8603355754,11033399.87306587,hydro_run_of_river
687,85,PRT_2,324805.6586257081,520318.9107324788,1736586.3196790188,38412.149076428825,377554.1886792548,1554083.3953553063,hydro_run_of_river
688,86,PRT_1,1364.0137521380343,21.42609471142884,2.350926563305709,2.868944187005704,9.73841886237001,2502.2959672862908,ccgt
689,86,PRT_2,809.8831653319579,12.721743734910875,1.3958626469627644,1.7034356110346367,5.782186199532192,1485.7382305762349,ccgt
690,86,PRT_1,391.354172157806,3218.8369996507067,36446.61637162352,44.56044159024452,94.64674297768003,1475.4960159483803,chp_biofuel_extraction
691,86,PRT_2,251.780306563064,2070.860167607448,23448.172770555,28.66825612798948,60.89161086675918,949.2701641066504,chp_biofuel_extraction
692,86,PRT_1,2313935.0203116164,4326262.748596716,74806989.86523739,278715.5881927138,1846519.3836229208,106431626.45097792,hydro_reservoir
693,86,PRT_2,422522.7093448632,789972.165090734,13659697.337368293,50893.24653722274,337172.98280964466,19434331.03060584,hydro_reservoir
694,86,PRT_1,2305965.701961601,3694016.807797542,12328936.9668592,272707.9900136631,2680455.178675237,11033253.000702873,hydro_run_of_river
695,86,PRT_2,311781.3731094187,499454.7974606294,1666951.461262819,36871.87173340939,362414.7555424196,1491766.6674298348,hydro_run_of_river
696,87,PRT_1,2176.264996900788,34.18503652743596,3.750870679996434,4.577360603920557,15.537512039093816,3992.37846169462,ccgt
697,87,PRT_2,1304.8117663681544,20.49614268402308,2.2488898201066765,2.744424040000247,9.315744432579642,2393.689371483934,ccgt
698,87,PRT_1,634.9242513329441,5222.169118314433,59130.17481270391,72.29386327927779,153.55275783791447,2393.811718181988,chp_biofuel_extraction
699,87,PRT_2,418.721596784226,3443.9304961297767,38995.33080320559,47.67655638676512,101.26539633276252,1578.6775555251904,chp_biofuel_extraction
700,87,PRT_1,2313976.208384132,4326339.75612815,74808321.43059951,278720.54933369526,1846552.2516912136,106433520.93526971,hydro_reservoir
701,87,PRT_2,422525.22440957295,789976.8673968352,13659778.646661166,50893.54947906587,337174.9898304541,19434446.7133823,hydro_reservoir
702,87,PRT_1,2305981.8512327094,3694042.677947672,12329023.309576867,272709.89985788154,2680473.950592502,11033330.269412369,hydro_run_of_river
703,87,PRT_2,324789.78841400426,520293.4876185413,1736501.4689635113,38410.2722343183,377535.7411407193,1554007.4618491165,hydro_run_of_river
704,88,PRT_1,2339.6624776256563,36.751704123075854,4.032492091225765,4.921036209655616,16.70409346531522,4292.1326661091225,ccgt
705,88,PRT_2,1385.3264670151912,21.76087744129492,2.387659790857361,2.913771439927668,9.89058165709454,2541.3943417751384,ccgt
706,88,PRT_1,678.7121307352161,5582.318712680947,63208.1179032352,77.2796469537108,164.14260320604646,2558.902181504884,chp_biofuel_extraction
707,88,PRT_2,435.142051560078,3578.9865940172194,40524.559462154815,49.54622526467746,105.23658834581208,1640.5864792712764,chp_biofuel_extraction
708,88,PRT_1,2313983.0746716675,4326352.593724592,74808543.4101701,278721.3763843049,1846557.7309864045,106433836.75664918,hydro_reservoir
709,88,PRT_2,422525.76925088326,789977.88606272,13659796.260785164,50893.61510569968,337175.4246136401,19434471.77387289,hydro_reservoir
710,88,PRT_1,2305985.9260167954,3694049.205503954,12329045.09557139,272710.38174977485,2680478.6871226667,11033349.765853142,hydro_run_of_river
711,88,PRT_2,311806.0388601391,499494.3104931347,1667083.3376760771,36874.78875307512,362443.4270179745,1491884.6845659604,hydro_run_of_river
712,89,PRT_1,1236.137462875094,19.41739833223239,2.130527197995799,2.5999806694739185,8.82544209402282,2267.7057203532004,ccgt
713,89,PRT_2,741.2088618388972,11.642999383120188,1.277500024851887,1.5589922405083074,5.291883860975369,1359.7545794455016,ccgt
714,89,PRT_1,372.1969749193121,3061.2715521153577,34662.51626951607,42.3791612326801,90.01368562912228,1403.2689382446138,chp_biofuel_extraction
715,89,PRT_2,242.201707943817,1992.0774438397727,22556.12271950128,27.577615949207267,58.575082192480295,913.1566252547668,chp_biofuel_extraction
716,89,PRT_1,2313927.923431793,4326249.479871994,74806760.43087028,278714.7333670525,1846513.720315161,106431300.02328844,hydro_reservoir
717,89,PRT_2,422521.9542891892,789970.7533962795,13659672.927243697,50893.15559007667,337172.3802754656,19434296.301107068,hydro_reservoir
718,89,PRT_1,2305961.56258043,3694010.176760659,12328914.835493805,272707.5004823929,2680450.367057403,11033233.19518726,hydro_run_of_river
719,89,PRT_2,324766.3043592819,520255.8675911549,1736375.910534714,38407.494964320176,377508.4432689239,1553895.098722027,hydro_run_of_river
720,90,PRT_1,902.2382631329708,14.172468897663869,1.5550399663532557,1.897687040363148,6.4415583100051625,1655.164520027911,ccgt
721,90,PRT_2,532.8178719289197,8.369568246651893,0.9183306887912928,1.1206813230491028,3.804069868113284,977.459362221207,ccgt
722,90,PRT_1,261.358905182311,2149.6428913751224,24340.22282160872,29.75889630677168,63.20813954103806,985.383702958534,chp_biofuel_extraction
