scenario,location,tech_type,value
2,PRT-3_1,roof_mounted_pv,0.0033092152779363
2,PRT-4_1,roof_mounted_pv,0.0028539784788956
2,PRT-5_1,roof_mounted_pv,0.003208221136299
2,PRT-6_1,roof_mounted_pv,0.0030993474572222
2,PRT-7_1,roof_mounted_pv,0.0031059033983679
2,PRT-8_1,roof_mounted_pv,0.0032906868563237
2,PRT-9_1,roof_mounted_pv,0.0039973194917112
2,PRT-11_1,wind_offshore,0.0050000289224594
2,PRT-12_1,wind_offshore,0.0044511437419054
2,PRT-15_1,wind_offshore,0.0052684515678519
2,PRT-16_1,wind_offshore,0.0050987858189062
2,PRT-17_1,wind_offshore,0.0055473343307283
2,PRT-18_1,wind_offshore,0.004826981667013
2,PRT-1_1,wind_offshore,0.000658674674036
2,PRT-20_1,wind_offshore,0.008626618690396
2,PRT-3_1,wind_offshore,0.0050641771765952
2,PRT-4_1,wind_offshore,0.0053633021073359
2,PRT-7_1,wind_offshore,0.0046809139422804
2,PRT-9_1,wind_offshore,0.0052177464417695
3,PRT_1,chp_biofuel_extraction,0.0113722846102504
3,PRT_1,chp_biofuel_extraction,0.017585460613454
3,PRT_2,chp_biofuel_extraction,0.0052458809401808
3,PRT_2,chp_biofuel_extraction,0.0073321584962368
3,PRT_1,chp_hydrogen,0.0020290607300857
3,PRT_1,chp_hydrogen,0.0028530286342929
3,PRT_2,chp_hydrogen,0.0022364975604025
3,PRT_2,chp_hydrogen,0.0043942886465372
3,PRT_1,chp_methane_extraction,0.0083254713501535
3,PRT_1,chp_methane_extraction,0.002669243888199
3,PRT_2,chp_methane_extraction,0.0060493733213214
3,PRT_2,chp_methane_extraction,0.0015230733083361
3,PRT_1,chp_wte_back_pressure,0.097667449999499
3,PRT_1,chp_wte_back_pressure,0.0018919510253565
3,PRT_2,chp_wte_back_pressure,0.0956768235131092
3,PRT_2,chp_wte_back_pressure,0.0024621967638478
3,PRT_1,electrolysis,3.7628107569894
3,PRT_2,electrolysis,0.0009459427288753
3,PRT-10_1,existing_pv,0.2
3,PRT-12_1,existing_pv,0.1
3,PRT-15_1,existing_pv,0.2
3,PRT-3_1,existing_pv,0.5
3,PRT-9_1,existing_pv,0.1
3,PRT-10_1,existing_wind,0.11
3,PRT-11_1,existing_wind,0.43
3,PRT-12_1,existing_wind,0.1
3,PRT-15_1,existing_wind,0.1199999999998999
3,PRT-16_1,existing_wind,0.03
3,PRT-17_1,existing_wind,0.08
3,PRT-18_1,existing_wind,0.83
3,PRT-19_1,existing_wind,0.7699999999999999
3,PRT-1_1,existing_wind,0.06
3,PRT-20_1,existing_wind,0.82
3,PRT-3_1,existing_wind,0.1399999999999999
3,PRT-4_1,existing_wind,0.35
3,PRT-5_1,existing_wind,0.1799999999999
3,PRT-6_1,existing_wind,0.67
3,PRT-7_1,existing_wind,0.4799999999999
3,PRT-9_1,existing_wind,0.23
3,PRT_1,hydro_reservoir,1.1303999999999998
3,PRT_2,hydro_reservoir,0.205
3,PRT_1,hydro_run_of_river,1.4028
3,PRT_2,hydro_run_of_river,0.2127
3,PRT-10_1,open_field_pv,0.0574890728893729
3,PRT-11_1,open_field_pv,3.964354596285
3,PRT-12_1,open_field_pv,0.0277525447339039
3,PRT-14_1,open_field_pv,0.001850924354598
3,PRT-15_1,open_field_pv,0.0742679316888279
3,PRT-17_1,open_field_pv,0.0280005030716207
3,PRT-18_1,open_field_pv,0.0006926836330518
3,PRT-19_1,open_field_pv,0.0288850764981446
3,PRT-20_1,open_field_pv,0.0337969303275504
3,PRT-3_1,open_field_pv,0.0350727115207323
3,PRT-4_1,open_field_pv,0.0075150742943357
3,PRT-5_1,open_field_pv,0.0377723586281593
3,PRT-6_1,open_field_pv,0.1059272193057
3,PRT-7_1,open_field_pv,0.0415251274211956
3,PRT-8_1,open_field_pv,0.0269396138614607
3,PRT-9_1,open_field_pv,5.3941995232491
3,PRT_1,pumped_hydro,3.126
3,PRT_2,pumped_hydro,0.514
3,PRT-10_1,wind_onshore,0.087475104941846
3,PRT-11_1,wind_onshore,0.0167215044681491
3,PRT-12_1,wind_onshore,0.3466308739129
3,PRT-14_1,wind_onshore,0.0603796043351873
3,PRT-15_1,wind_onshore,0.0372158117353015
3,PRT-16_1,wind_onshore,2.4070118323298
3,PRT-17_1,wind_onshore,2.7149966320961
3,PRT-18_1,wind_onshore,1.0569761638181
3,PRT-19_1,wind_onshore,0.0424741560581857
3,PRT-1_1,wind_onshore,0.0022750861369288
3,PRT-20_1,wind_onshore,0.0948314404949683
3,PRT-3_1,wind_onshore,9.9990669566053
3,PRT-4_1,wind_onshore,0.1041243686777
3,PRT-5_1,wind_onshore,0.0509171004553998
3,PRT-6_1,wind_onshore,0.069830538932435
3,PRT-7_1,wind_onshore,8.5029362169499
3,PRT-8_1,wind_onshore,0.0909746835417615
3,PRT-9_1,wind_onshore,0.0117376583061494
3,PRT_1,battery,0.0083240876986746
3,PRT_2,battery,0.0208515276231398
3,PRT_1,ccgt,0.004304821610374
3,PRT_2,ccgt,0.0497762528512201
3,PRT-10_1,roof_mounted_pv,0.0096399957117526
3,PRT-11_1,roof_mounted_pv,0.0108646317561364
3,PRT-12_1,roof_mounted_pv,0.00902873876815
3,PRT-14_1,roof_mounted_pv,0.0087413205918677
3,PRT-15_1,roof_mounted_pv,0.0098107861133791
3,PRT-16_1,roof_mounted_pv,0.0086831051916643
3,PRT-17_1,roof_mounted_pv,0.0089566799943998
3,PRT-18_1,roof_mounted_pv,0.0089116875002943
3,PRT-19_1,roof_mounted_pv,0.0090435019844483
3,PRT-20_1,roof_mounted_pv,0.0095467964796095
3,PRT-3_1,roof_mounted_pv,0.0093214753215155
3,PRT-4_1,roof_mounted_pv,0.0088287158987734
3,PRT-5_1,roof_mounted_pv,0.0095420757546727
3,PRT-6_1,roof_mounted_pv,0.0098530675925304
3,PRT-7_1,roof_mounted_pv,0.0095591951044592
3,PRT-8_1,roof_mounted_pv,0.0090014861893642
3,PRT-9_1,roof_mounted_pv,0.0109427829394153
3,PRT-11_1,wind_offshore,0.0106818392856315
3,PRT-12_1,wind_offshore,0.006849889161231
3,PRT-15_1,wind_offshore,0.0109043794786622
3,PRT-16_1,wind_offshore,0.0068150887879611
3,PRT-17_1,wind_offshore,0.0068403199231035
3,PRT-18_1,wind_offshore,0.0106415847315793
3,PRT-1_1,wind_offshore,0.0007909919870034
3,PRT-20_1,wind_offshore,0.0117891210324873
3,PRT-3_1,wind_offshore,0.0068832596984129
3,PRT-4_1,wind_offshore,0.0107576687187199
3,PRT-7_1,wind_offshore,0.0106049821552841
3,PRT-9_1,wind_offshore,0.0068798686696302
4,PRT_1,chp_biofuel_extraction,0.0107975285954398
4,PRT_1,chp_biofuel_extraction,0.0165403997499416
4,PRT_2,chp_biofuel_extraction,0.006298419505666
4,PRT_2,chp_biofuel_extraction,0.0090429998449188
4,PRT_1,chp_hydrogen,0.0023164248624583
4,PRT_1,chp_hydrogen,0.0040852430967299
4,PRT_2,chp_hydrogen,0.0023284791066075
4,PRT_2,chp_hydrogen,0.0047211726935313
4,PRT_1,chp_methane_extraction,0.008065004424921
4,PRT_1,chp_methane_extraction,0.0024609618788373
4,PRT_2,chp_methane_extraction,0.0061796928412935
4,PRT_2,chp_methane_extraction,0.0016786022384422
4,PRT_1,chp_wte_back_pressure,0.0976069941043595
4,PRT_1,chp_wte_back_pressure,0.0015147785241529
4,PRT_2,chp_wte_back_pressure,0.0955695118534046
4,PRT_2,chp_wte_back_pressure,0.0019824966000257
4,PRT_1,electrolysis,0.0011227253506709
4,PRT_2,electrolysis,4.027419898459099
4,PRT-10_1,existing_pv,0.2
4,PRT-12_1,existing_pv,0.1
4,PRT-15_1,existing_pv,0.2
4,PRT-3_1,existing_pv,0.5
4,PRT-9_1,existing_pv,0.1
4,PRT-10_1,existing_wind,0.11
4,PRT-11_1,existing_wind,0.43
4,PRT-12_1,existing_wind,0.1
4,PRT-15_1,existing_wind,0.1199999999998999
4,PRT-16_1,existing_wind,0.03
4,PRT-17_1,existing_wind,0.08
4,PRT-18_1,existing_wind,0.83
4,PRT-19_1,existing_wind,0.7699999999999999
4,PRT-1_1,existing_wind,0.06
4,PRT-20_1,existing_wind,0.82
4,PRT-3_1,existing_wind,0.1399999999999999
4,PRT-4_1,existing_wind,0.35
4,PRT-5_1,existing_wind,0.1799999999999
4,PRT-6_1,existing_wind,0.67
4,PRT-7_1,existing_wind,0.4799999999999
4,PRT-9_1,existing_wind,0.23
4,PRT_1,hydro_reservoir,1.1303999999999998
4,PRT_2,hydro_reservoir,0.205
4,PRT_1,hydro_run_of_river,1.4028
4,PRT_2,hydro_run_of_river,0.2127
4,PRT-10_1,open_field_pv,0.0361719068699505
4,PRT-11_1,open_field_pv,0.0006249456748762
4,PRT-12_1,open_field_pv,0.11637732843
4,PRT-14_1,open_field_pv,0.0124924375470612
4,PRT-15_1,open_field_pv,0.0149374323962878
4,PRT-16_1,open_field_pv,0.0290498469135706
4,PRT-17_1,open_field_pv,0.082575496512862
4,PRT-18_1,open_field_pv,0.0116233431268568
4,PRT-19_1,open_field_pv,0.0209250355659282
4,PRT-20_1,open_field_pv,0.0231304414625435
4,PRT-3_1,open_field_pv,3.8847808407276
4,PRT-4_1,open_field_pv,0.0062356441404263
4,PRT-5_1,open_field_pv,0.0248164522454191
4,PRT-6_1,open_field_pv,0.0222207195357733
4,PRT-7_1,open_field_pv,0.0160039692149119
4,PRT-8_1,open_field_pv,0.0920706812045434
4,PRT-9_1,open_field_pv,0.0037218339931555
4,PRT_1,pumped_hydro,3.126
4,PRT_2,pumped_hydro,0.514
4,PRT-10_1,wind_onshore,0.026941538284814
4,PRT-11_1,wind_onshore,0.0563776015855252
4,PRT-12_1,wind_onshore,0.2133332721181
4,PRT-14_1,wind_onshore,0.1892790765033
4,PRT-15_1,wind_onshore,0.0564990152981403
4,PRT-16_1,wind_onshore,9.9977341241794
4,PRT-17_1,wind_onshore,0.0214705903635359
4,PRT-18_1,wind_onshore,0.1436091108864
4,PRT-19_1,wind_onshore,0.0318375485126168
4,PRT-1_1,wind_onshore,0.0022322776579107
4,PRT-20_1,wind_onshore,0.0742991865018883
4,PRT-3_1,wind_onshore,9.9970120796454
4,PRT-4_1,wind_onshore,0.2079030212505
4,PRT-5_1,wind_onshore,0.0300874618001283
4,PRT-6_1,wind_onshore,0.0372072536272773
