spores,techs,locs,carriers,unit,generated_district_heat
17,chp_hydrogen,PRT_2,heat,twh,0.0044195255677548
17,chp_methane_extraction,PRT_1,heat,twh,0.0053612503607425
17,chp_methane_extraction,PRT_2,heat,twh,0.0033714143960832
17,chp_wte_back_pressure,PRT_1,heat,twh,0.0017047102668709
17,chp_wte_back_pressure,PRT_2,heat,twh,0.0017890483508777
18,chp_biofuel_extraction,PRT_1,heat,twh,0.0803795240878081
18,chp_biofuel_extraction,PRT_2,heat,twh,0.0411258438649438
18,chp_hydrogen,PRT_1,heat,twh,0.0102480509585502
18,chp_hydrogen,PRT_2,heat,twh,0.011244140196624
18,chp_methane_extraction,PRT_1,heat,twh,0.0086366873382103
18,chp_methane_extraction,PRT_2,heat,twh,0.0041767974074924
18,chp_wte_back_pressure,PRT_1,heat,twh,0.0037031290675981
18,chp_wte_back_pressure,PRT_2,heat,twh,0.0039558334050226
19,chp_biofuel_extraction,PRT_1,heat,twh,0.0621199081059088
19,chp_biofuel_extraction,PRT_2,heat,twh,0.0276034526716208
19,chp_hydrogen,PRT_1,heat,twh,0.0064378673696258
19,chp_hydrogen,PRT_2,heat,twh,0.0069320616810604
19,chp_methane_extraction,PRT_1,heat,twh,0.0072964086641141
19,chp_methane_extraction,PRT_2,heat,twh,0.0043969721020661
19,chp_wte_back_pressure,PRT_1,heat,twh,0.0032129652723949
19,chp_wte_back_pressure,PRT_2,heat,twh,0.0033978154045068
20,chp_biofuel_extraction,PRT_1,heat,twh,0.013558474643118
20,chp_biofuel_extraction,PRT_2,heat,twh,0.0048001900104766
20,chp_hydrogen,PRT_1,heat,twh,0.0012243261490187
20,chp_hydrogen,PRT_2,heat,twh,0.0013361650776087
20,chp_methane_extraction,PRT_1,heat,twh,0.0017192052204665
20,chp_methane_extraction,PRT_2,heat,twh,0.0011528783826976
20,chp_wte_back_pressure,PRT_1,heat,twh,0.0007703713207032
20,chp_wte_back_pressure,PRT_2,heat,twh,0.0008207362554952
21,chp_biofuel_extraction,PRT_1,heat,twh,0.0308152689390666
21,chp_biofuel_extraction,PRT_2,heat,twh,0.0192348300346964
21,chp_hydrogen,PRT_1,heat,twh,0.0055050870748869
21,chp_hydrogen,PRT_2,heat,twh,0.0057257435350473
21,chp_methane_extraction,PRT_1,heat,twh,0.0049301891864348
21,chp_methane_extraction,PRT_2,heat,twh,0.0036925691272438
21,chp_wte_back_pressure,PRT_1,heat,twh,0.0017932348461075
21,chp_wte_back_pressure,PRT_2,heat,twh,0.001920418769263
22,chp_biofuel_extraction,PRT_1,heat,twh,0.0132546798170972
22,chp_biofuel_extraction,PRT_2,heat,twh,0.0071944834538926
22,chp_hydrogen,PRT_1,heat,twh,0.0019754972051609
22,chp_hydrogen,PRT_2,heat,twh,0.0020363458009671
22,chp_methane_extraction,PRT_1,heat,twh,0.0018921388811712
22,chp_methane_extraction,PRT_2,heat,twh,0.00131359978383
22,chp_wte_back_pressure,PRT_1,heat,twh,0.0006980269819851
22,chp_wte_back_pressure,PRT_2,heat,twh,0.0007303241994862
23,chp_biofuel_extraction,PRT_1,heat,twh,0.0944980452958501
23,chp_biofuel_extraction,PRT_2,heat,twh,0.0563745394665199
23,chp_hydrogen,PRT_1,heat,twh,0.0183958826604918
23,chp_hydrogen,PRT_2,heat,twh,0.0181522933734424
23,chp_methane_extraction,PRT_1,heat,twh,0.011607784215011
23,chp_methane_extraction,PRT_2,heat,twh,0.0062012747879235
23,chp_wte_back_pressure,PRT_1,heat,twh,0.0054975548738245
23,chp_wte_back_pressure,PRT_2,heat,twh,0.0057847670711253
24,chp_biofuel_extraction,PRT_1,heat,twh,0.03814384183623
24,chp_biofuel_extraction,PRT_2,heat,twh,0.0163972881739821
24,chp_hydrogen,PRT_1,heat,twh,0.0045763129647502
24,chp_hydrogen,PRT_2,heat,twh,0.0045863144006572
24,chp_methane_extraction,PRT_1,heat,twh,0.0049386371393544
24,chp_methane_extraction,PRT_2,heat,twh,0.0036049137065314
24,chp_wte_back_pressure,PRT_1,heat,twh,0.0021543758744843
24,chp_wte_back_pressure,PRT_2,heat,twh,0.0022591699461079
25,chp_biofuel_extraction,PRT_1,heat,twh,0.0763609558499876
25,chp_biofuel_extraction,PRT_2,heat,twh,0.0424053600676154
25,chp_hydrogen,PRT_1,heat,twh,0.0089751274831906
25,chp_hydrogen,PRT_2,heat,twh,0.0094796123897149
25,chp_methane_extraction,PRT_1,heat,twh,0.0074772105789824
25,chp_methane_extraction,PRT_2,heat,twh,0.0052613253719868
25,chp_wte_back_pressure,PRT_1,heat,twh,0.0056944475409595
25,chp_wte_back_pressure,PRT_2,heat,twh,0.00600727817702
26,chp_biofuel_extraction,PRT_1,heat,twh,0.1513780272843361
26,chp_biofuel_extraction,PRT_2,heat,twh,0.0725097520487129
26,chp_hydrogen,PRT_1,heat,twh,0.0139283511265488
26,chp_hydrogen,PRT_2,heat,twh,0.0147073586949618
26,chp_methane_extraction,PRT_1,heat,twh,0.0111142310402417
26,chp_methane_extraction,PRT_2,heat,twh,0.0056463375966686
26,chp_wte_back_pressure,PRT_1,heat,twh,0.0048396200747034
26,chp_wte_back_pressure,PRT_2,heat,twh,0.0050257809774515
27,chp_biofuel_extraction,PRT_1,heat,twh,0.0412586195451136
27,chp_biofuel_extraction,PRT_2,heat,twh,0.0270868458181439
27,chp_hydrogen,PRT_1,heat,twh,0.0073652178472405
27,chp_hydrogen,PRT_2,heat,twh,0.0074340943310285
27,chp_methane_extraction,PRT_1,heat,twh,0.0057401816193294
27,chp_methane_extraction,PRT_2,heat,twh,0.0044501366101624
27,chp_wte_back_pressure,PRT_1,heat,twh,0.0037818954740974
27,chp_wte_back_pressure,PRT_2,heat,twh,0.0039281052111411
28,chp_biofuel_extraction,PRT_1,heat,twh,0.0354625400348281
28,chp_biofuel_extraction,PRT_2,heat,twh,0.0249855659410094
28,chp_hydrogen,PRT_1,heat,twh,0.0068075473368798
28,chp_hydrogen,PRT_2,heat,twh,0.0072589037551424
28,chp_methane_extraction,PRT_1,heat,twh,0.0056667533679202
28,chp_methane_extraction,PRT_2,heat,twh,0.0042421855660587
28,chp_wte_back_pressure,PRT_1,heat,twh,0.0033982806165459
28,chp_wte_back_pressure,PRT_2,heat,twh,0.0035523218790281
29,chp_biofuel_extraction,PRT_1,heat,twh,0.1642329244394075
29,chp_biofuel_extraction,PRT_2,heat,twh,0.1209647768174569
29,chp_hydrogen,PRT_1,heat,twh,0.0303766986119108
29,chp_hydrogen,PRT_2,heat,twh,0.0330163361221509
29,chp_methane_extraction,PRT_1,heat,twh,0.0209050239779935
29,chp_methane_extraction,PRT_2,heat,twh,0.011921344328591
29,chp_wte_back_pressure,PRT_1,heat,twh,0.012985524099681
29,chp_wte_back_pressure,PRT_2,heat,twh,0.0140032996639984
30,chp_biofuel_extraction,PRT_1,heat,twh,0.1014301845877156
30,chp_biofuel_extraction,PRT_2,heat,twh,0.059461706635044
30,chp_hydrogen,PRT_1,heat,twh,0.0158811203683071
30,chp_hydrogen,PRT_2,heat,twh,0.0152739256774276
30,chp_methane_extraction,PRT_1,heat,twh,0.0103842555282559
30,chp_methane_extraction,PRT_2,heat,twh,0.006112731705381
30,chp_wte_back_pressure,PRT_1,heat,twh,0.0045196312604346
30,chp_wte_back_pressure,PRT_2,heat,twh,0.0047318924148055
31,chp_biofuel_extraction,PRT_1,heat,twh,0.0969584488533124
31,chp_biofuel_extraction,PRT_2,heat,twh,0.0673425915859867
31,chp_hydrogen,PRT_1,heat,twh,0.0174851947106471
31,chp_hydrogen,PRT_2,heat,twh,0.0180891725246104
31,chp_methane_extraction,PRT_1,heat,twh,0.0114679820133689
31,chp_methane_extraction,PRT_2,heat,twh,0.0085357586758828
31,chp_wte_back_pressure,PRT_1,heat,twh,0.0101913822278371
31,chp_wte_back_pressure,PRT_2,heat,twh,0.0106087282957036
32,chp_biofuel_extraction,PRT_1,heat,twh,0.0219330403793217
32,chp_biofuel_extraction,PRT_2,heat,twh,0.0102774247970883
32,chp_hydrogen,PRT_1,heat,twh,0.0031983802303832
32,chp_hydrogen,PRT_2,heat,twh,0.0032554075243198
32,chp_methane_extraction,PRT_1,heat,twh,0.0035554330388673
32,chp_methane_extraction,PRT_2,heat,twh,0.0028111624160721
32,chp_wte_back_pressure,PRT_1,heat,twh,0.0014328462812065
32,chp_wte_back_pressure,PRT_2,heat,twh,0.0014947690653598
33,chp_biofuel_extraction,PRT_1,heat,twh,0.0618966229456832
33,chp_biofuel_extraction,PRT_2,heat,twh,0.0217610548544882
33,chp_hydrogen,PRT_1,heat,twh,0.0055772424903431
33,chp_hydrogen,PRT_2,heat,twh,0.0060352054673016
33,chp_methane_extraction,PRT_1,heat,twh,0.007339477571397
33,chp_methane_extraction,PRT_2,heat,twh,0.0033382730750435
33,chp_wte_back_pressure,PRT_1,heat,twh,0.003029377201623
33,chp_wte_back_pressure,PRT_2,heat,twh,0.0032319689118852
34,chp_biofuel_extraction,PRT_1,heat,twh,0.015653470308682
34,chp_biofuel_extraction,PRT_2,heat,twh,0.0098534461807403
34,chp_hydrogen,PRT_1,heat,twh,0.002530643909693
34,chp_hydrogen,PRT_2,heat,twh,0.0026143467496219
34,chp_methane_extraction,PRT_1,heat,twh,0.0020342769084145
34,chp_methane_extraction,PRT_2,heat,twh,0.0016523357855377
34,chp_wte_back_pressure,PRT_1,heat,twh,0.0009066765810598
34,chp_wte_back_pressure,PRT_2,heat,twh,0.0010705648502839
35,chp_biofuel_extraction,PRT_1,heat,twh,0.0286176085065163
35,chp_biofuel_extraction,PRT_2,heat,twh,0.0134506112087264
35,chp_hydrogen,PRT_1,heat,twh,0.0038410341849154
35,chp_hydrogen,PRT_2,heat,twh,0.0040069874741503
35,chp_methane_extraction,PRT_1,heat,twh,0.0040705087996491
35,chp_methane_extraction,PRT_2,heat,twh,0.002902357113356
35,chp_wte_back_pressure,PRT_1,heat,twh,0.0019263604248704
35,chp_wte_back_pressure,PRT_2,heat,twh,0.0020066355477228
36,chp_biofuel_extraction,PRT_1,heat,twh,0.0420293248129353
36,chp_biofuel_extraction,PRT_2,heat,twh,0.0269092524934125
36,chp_hydrogen,PRT_1,heat,twh,0.0067993913790015
36,chp_hydrogen,PRT_2,heat,twh,0.0072471145675507
36,chp_methane_extraction,PRT_1,heat,twh,0.0052286623888376
36,chp_methane_extraction,PRT_2,heat,twh,0.0037537654442547
36,chp_wte_back_pressure,PRT_1,heat,twh,0.0030052699594913
36,chp_wte_back_pressure,PRT_2,heat,twh,0.0031773121734092
37,chp_biofuel_extraction,PRT_1,heat,twh,0.0234071619726826
37,chp_biofuel_extraction,PRT_2,heat,twh,0.0092360549739893
37,chp_hydrogen,PRT_1,heat,twh,0.0027652457508757
37,chp_hydrogen,PRT_2,heat,twh,0.0028814754426341
37,chp_methane_extraction,PRT_1,heat,twh,0.0033573803156063
