spores,unit,max_regional_share
141,fraction,0.31538631227023134
142,fraction,0.9999507801521202
143,fraction,0.3070652683259261
144,fraction,0.9996866398642844
145,fraction,0.3116715854573283
146,fraction,0.999635997727149
147,fraction,0.30479099379769764
148,fraction,0.9995612679439536
149,fraction,0.31246585670148763
150,fraction,0.9999066733958543
151,fraction,1.0
152,fraction,1.0
153,fraction,1.0
154,fraction,1.0
155,fraction,1.0
156,fraction,1.0
157,fraction,1.0
158,fraction,1.0
159,fraction,1.0
160,fraction,1.0
161,fraction,0.9999584742937807
162,fraction,1.0
163,fraction,0.999543438482892
164,fraction,1.0
165,fraction,0.9997487062256551
166,fraction,0.9999604754187993
167,fraction,0.9998058597354431
168,fraction,0.9996359147245502
169,fraction,0.9998727286773513
170,fraction,1.0
171,fraction,1.0
172,fraction,1.0
173,fraction,1.0
174,fraction,1.0
175,fraction,1.0
176,fraction,1.0
177,fraction,0.9999493179013842
178,fraction,1.0
179,fraction,0.9998990953896673
180,fraction,1.0
181,fraction,0.44661807969829026
182,fraction,0.4464990832608846
183,fraction,0.446555090176607
184,fraction,0.44661205225009104
185,fraction,0.44670814898269046
186,fraction,0.4465555154709023
187,fraction,0.44671793042587854
188,fraction,0.44660216963807264
189,fraction,0.4466880047956582
190,fraction,0.44662089919494147
191,fraction,0.4466551999738072
192,fraction,0.44653197874823064
193,fraction,0.446586351380953
194,fraction,0.4465778539409466
195,fraction,0.4467014508379932
196,fraction,0.4465347022506058
197,fraction,0.44671385608003855
198,fraction,0.4465447161911867
199,fraction,0.4467160526650514
200,fraction,0.44657912939062794
201,fraction,1.0
202,fraction,0.9996222386455502
203,fraction,1.0
204,fraction,1.0
205,fraction,1.0
206,fraction,1.0
207,fraction,1.0
208,fraction,0.9992455267425039
209,fraction,1.0
210,fraction,1.0
211,fraction,0.9956876239997373
212,fraction,0.9973116448754367
213,fraction,0.9989555505190212
214,fraction,0.9969821179576361
215,fraction,0.9965951932443281
216,fraction,0.9961934927940518
217,fraction,0.9979690305719401
218,fraction,0.998814141244753
219,fraction,0.9950282294826035
220,fraction,0.9952772306940549
221,fraction,0.3626751964644548
222,fraction,0.5097949459066639
223,fraction,0.39969322502874527
224,fraction,0.48397638102632506
225,fraction,0.3868986470343189
226,fraction,0.4934801745534455
227,fraction,0.38824796937885425
228,fraction,0.5293449620194796
229,fraction,0.39907710922693707
230,fraction,0.5155842650243113
231,fraction,0.9692407847745439
232,fraction,0.7245047556787014
233,fraction,0.9984371394115072
234,fraction,0.8958058880088857
235,fraction,0.9856083683878671
236,fraction,0.986686407429471
237,fraction,0.9934185522279324
238,fraction,0.993129657465241
239,fraction,0.979742192412482
240,fraction,0.9947002719118218
241,fraction,1.0
242,fraction,0.990799439172247
243,fraction,0.9808320795606073
244,fraction,0.993123466556365
245,fraction,0.9798012711173927
246,fraction,0.9903003767027716
247,fraction,0.8311264215229136
248,fraction,0.9890062540136615
249,fraction,0.9853200047604915
250,fraction,0.9798318974641866
251,fraction,0.44796153990904
252,fraction,0.591885929103859
253,fraction,0.4986876252017178
254,fraction,0.3724420071713535
255,fraction,0.481337281276483
256,fraction,0.4233032673890697
257,fraction,0.45049543015125576
258,fraction,0.4026908177363478
259,fraction,0.4516853223668065
260,fraction,0.39442005952771353
