spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
29,ac_transmission,PRT_2,gw,electricity,PRT_1,3.999041127955
30,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9993382865976
30,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9993382865976
30,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9997348932940997
30,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9997348932940997
31,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9998821658031
31,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9998821658031
31,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9993934207805
31,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9993934207805
32,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9991530256346
32,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9991530256346
32,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999053017993
32,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999053017993
33,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.00010891732
33,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.00010891732
33,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9991629522476995
33,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9991629522476995
34,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9996888354617
34,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9996888354617
34,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9998230709314
34,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9998230709314
35,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0020311536227
35,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0020311536227
35,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9992132134558
35,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9992132134558
36,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0010912986041003
36,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0010912986041003
36,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9992963711825995
36,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9992963711825995
37,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9992921002290998
37,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9992921002290998
37,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9992067785920997
37,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9992067785920997
38,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000489376413
38,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000489376413
38,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9997671655843003
38,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9997671655843003
39,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9989100869423
39,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9989100869423
39,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9990143878615
39,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9990143878615
40,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9987825542405
40,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9987825542405
40,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9993403312614997
40,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9993403312614997
41,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9988358367103998
41,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9988358367103998
41,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988365889043
