spores,techs,locs,carriers,unit,storage_capacity
23,heat_storage_small,PRT_2,heat,twh,0.0020595945649397
23,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
23,hydrogen_storage,PRT_2,hydrogen,twh,0.0011801253405223
23,methane_storage,PRT_2,methane,twh,1.785
23,pumped_hydro,PRT_2,electricity,twh,0.0058
24,battery,PRT_1,electricity,twh,2.4650331028617017e-05
24,heat_storage_big,PRT_1,heat,twh,0.0062042697825005
24,heat_storage_small,PRT_1,heat,twh,0.0014008959904006
24,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
24,hydrogen_storage,PRT_1,hydrogen,twh,0.0005529739421878
24,methane_storage,PRT_1,methane,twh,1.785
24,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
24,battery,PRT_2,electricity,twh,0.0114431104156027
24,heat_storage_big,PRT_2,heat,twh,0.0099060553418335
24,heat_storage_small,PRT_2,heat,twh,0.0020498402943866
24,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
24,hydrogen_storage,PRT_2,hydrogen,twh,0.0005530084278635
24,methane_storage,PRT_2,methane,twh,1.785
24,pumped_hydro,PRT_2,electricity,twh,0.0058
25,battery,PRT_1,electricity,twh,6.355864222693037e-05
25,heat_storage_big,PRT_1,heat,twh,0.0169271981961813
25,heat_storage_small,PRT_1,heat,twh,0.0015560439361572
25,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
25,hydrogen_storage,PRT_1,hydrogen,twh,0.0016176452395093
25,methane_storage,PRT_1,methane,twh,1.785
25,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
25,battery,PRT_2,electricity,twh,0.00134715402025
25,heat_storage_big,PRT_2,heat,twh,0.029556140345831
25,heat_storage_small,PRT_2,heat,twh,0.0021726117649903
25,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
25,hydrogen_storage,PRT_2,hydrogen,twh,0.0016175538557698
25,methane_storage,PRT_2,methane,twh,1.785
25,pumped_hydro,PRT_2,electricity,twh,0.0058
26,battery,PRT_1,electricity,twh,0.0006029125277282
26,heat_storage_big,PRT_1,heat,twh,0.0130244063295629
26,heat_storage_small,PRT_1,heat,twh,0.0019513820021808
26,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
26,hydrogen_storage,PRT_1,hydrogen,twh,0.0014537256033812
26,methane_storage,PRT_1,methane,twh,1.785
26,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
26,battery,PRT_2,electricity,twh,5.168718506493661e-05
26,heat_storage_big,PRT_2,heat,twh,0.0183969781027526
26,heat_storage_small,PRT_2,heat,twh,0.0021609848509819
26,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
26,hydrogen_storage,PRT_2,hydrogen,twh,0.0014536294425977
26,methane_storage,PRT_2,methane,twh,1.785
26,pumped_hydro,PRT_2,electricity,twh,0.0058
27,battery,PRT_1,electricity,twh,0.0023280633030236
27,heat_storage_big,PRT_1,heat,twh,0.0102268575516908
27,heat_storage_small,PRT_1,heat,twh,0.00147129974663
27,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
27,hydrogen_storage,PRT_1,hydrogen,twh,0.0010818202261551
27,methane_storage,PRT_1,methane,twh,1.785
27,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
27,battery,PRT_2,electricity,twh,4.817843038609688e-05
27,heat_storage_big,PRT_2,heat,twh,0.0151411538179212
27,heat_storage_small,PRT_2,heat,twh,0.0021221728583797
27,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
27,hydrogen_storage,PRT_2,hydrogen,twh,0.00108178811748
27,methane_storage,PRT_2,methane,twh,1.785
27,pumped_hydro,PRT_2,electricity,twh,0.0058
28,battery,PRT_1,electricity,twh,0.0037354313928231
28,heat_storage_big,PRT_1,heat,twh,0.0078691531274041
28,heat_storage_small,PRT_1,heat,twh,0.0014692575004748
28,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
28,hydrogen_storage,PRT_1,hydrogen,twh,0.0008321594723718
28,methane_storage,PRT_1,methane,twh,1.785
28,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
28,battery,PRT_2,electricity,twh,6.841667515092104e-05
28,heat_storage_big,PRT_2,heat,twh,0.0122177779906485
28,heat_storage_small,PRT_2,heat,twh,0.0020308851252587
28,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
28,hydrogen_storage,PRT_2,hydrogen,twh,0.0008319989847179
28,methane_storage,PRT_2,methane,twh,1.785
28,pumped_hydro,PRT_2,electricity,twh,0.0058
29,battery,PRT_1,electricity,twh,0.0033968350149615
29,heat_storage_big,PRT_1,heat,twh,0.0295974305430939
29,heat_storage_small,PRT_1,heat,twh,0.0016638483018412
29,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
29,hydrogen_storage,PRT_1,hydrogen,twh,0.0031067454612953
29,methane_storage,PRT_1,methane,twh,1.785
29,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
29,battery,PRT_2,electricity,twh,0.0002266735816467
29,heat_storage_big,PRT_2,heat,twh,0.062087271442564
29,heat_storage_small,PRT_2,heat,twh,0.0023420360818016
29,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
29,hydrogen_storage,PRT_2,hydrogen,twh,0.0031065165733417
29,methane_storage,PRT_2,methane,twh,1.785
29,pumped_hydro,PRT_2,electricity,twh,0.0058
30,battery,PRT_1,electricity,twh,0.003453351651221
30,heat_storage_big,PRT_1,heat,twh,0.0142592016525508
30,heat_storage_small,PRT_1,heat,twh,0.0014156580720598
30,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
30,hydrogen_storage,PRT_1,hydrogen,twh,0.001391747032121
30,methane_storage,PRT_1,methane,twh,1.785
30,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
30,battery,PRT_2,electricity,twh,0.0001741080453707
30,heat_storage_big,PRT_2,heat,twh,0.0228442090471965
30,heat_storage_small,PRT_2,heat,twh,0.0020316847030734
30,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
30,hydrogen_storage,PRT_2,hydrogen,twh,0.0013915596742137
30,methane_storage,PRT_2,methane,twh,1.785
30,pumped_hydro,PRT_2,electricity,twh,0.0058
31,battery,PRT_1,electricity,twh,0.0029113204634247
31,heat_storage_big,PRT_1,heat,twh,0.0215016522288358
31,heat_storage_small,PRT_1,heat,twh,0.0016340394362309
31,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
31,hydrogen_storage,PRT_1,hydrogen,twh,0.0022831608056902
31,methane_storage,PRT_1,methane,twh,1.785
31,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
31,battery,PRT_2,electricity,twh,0.0001144088907252
31,heat_storage_big,PRT_2,heat,twh,0.0360605768236649
31,heat_storage_small,PRT_2,heat,twh,0.0022625738593549
31,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
31,hydrogen_storage,PRT_2,hydrogen,twh,0.0022829909042963
31,methane_storage,PRT_2,methane,twh,1.785
31,pumped_hydro,PRT_2,electricity,twh,0.0058
32,battery,PRT_1,electricity,twh,0.0032137575468121
32,heat_storage_big,PRT_1,heat,twh,0.0037297638899008
32,heat_storage_small,PRT_1,heat,twh,0.0013899777230437
32,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
32,hydrogen_storage,PRT_1,hydrogen,twh,0.0003254358551254
32,methane_storage,PRT_1,methane,twh,1.785
32,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
32,battery,PRT_2,electricity,twh,6.569135733156667e-05
32,heat_storage_big,PRT_2,heat,twh,0.0050925961431366
32,heat_storage_small,PRT_2,heat,twh,0.0020347644756998
