spores,techs,locs,carriers,unit,nameplate_capacity
3,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
3,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
3,existing_wind,PRT-17_1,electricity,gw,0.08
3,existing_wind,PRT-18_1,electricity,gw,0.83
3,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
3,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
3,existing_wind,PRT-20_1,electricity,gw,0.82
3,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
3,existing_wind,PRT-4_1,electricity,gw,0.35
3,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
3,existing_wind,PRT-6_1,electricity,gw,0.67
3,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
3,existing_wind,PRT-9_1,electricity,gw,0.23
3,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
3,hydro_reservoir,PRT_2,electricity,gw,0.205
3,hydro_run_of_river,PRT_1,electricity,gw,1.4028
3,hydro_run_of_river,PRT_2,electricity,gw,0.2127
3,open_field_pv,PRT-10_1,electricity,gw,0.003954162047754457
3,open_field_pv,PRT-11_1,electricity,gw,10.9331189680546
3,open_field_pv,PRT-15_1,electricity,gw,0.0008104564820836734
3,open_field_pv,PRT-3_1,electricity,gw,0.3733131354333
3,open_field_pv,PRT-6_1,electricity,gw,0.49400744907050004
3,open_field_pv,PRT-7_1,electricity,gw,0.000571765065162117
3,pumped_hydro,PRT_1,electricity,gw,3.126
3,pumped_hydro,PRT_2,electricity,gw,0.514
3,wind_onshore,PRT-12_1,electricity,gw,0.000614124305322906
3,wind_onshore,PRT-3_1,electricity,gw,7.5822458173942
3,wind_onshore,PRT-6_1,electricity,gw,7.1257093238266
3,wind_onshore,PRT-8_1,electricity,gw,0.007340520304174235
3,wind_onshore,PRT-9_1,electricity,gw,8.5463512498612
4,battery,PRT_1,electricity,gw,0.0011155389698362078
4,battery,PRT_2,electricity,gw,0.001621536546911838
