spores,techs,locs,carriers,unit,generated_building_heat
18,hp,PRT_2,heat,twh,10.534694418708714
18,methane_boiler,PRT_1,heat,twh,0.0973114283862792
18,methane_boiler,PRT_2,heat,twh,0.0208175360009709
19,biofuel_boiler,PRT_1,heat,twh,0.1530947469109976
19,biofuel_boiler,PRT_2,heat,twh,0.0191883682716018
19,electric_heater,PRT_1,heat,twh,0.0623355578194134
19,electric_heater,PRT_2,heat,twh,0.0656433743587988
19,hp,PRT_1,heat,twh,8.743079359251102
19,hp,PRT_2,heat,twh,10.643532156085392
19,methane_boiler,PRT_1,heat,twh,0.0353127046682033
19,methane_boiler,PRT_2,heat,twh,0.008863725067919
20,biofuel_boiler,PRT_1,heat,twh,0.045310123276329
20,biofuel_boiler,PRT_2,heat,twh,0.002933479793537
20,electric_heater,PRT_1,heat,twh,0.0160195751858749
20,electric_heater,PRT_2,heat,twh,0.0164860302417668
20,hp,PRT_1,heat,twh,8.952508063330566
20,hp,PRT_2,heat,twh,10.71027148043609
20,methane_boiler,PRT_1,heat,twh,0.0068114906214538
20,methane_boiler,PRT_2,heat,twh,0.0013575968366722
21,biofuel_boiler,PRT_1,heat,twh,0.1025662028140791
21,biofuel_boiler,PRT_2,heat,twh,0.0205083299294313
21,electric_heater,PRT_1,heat,twh,0.0372423587323362
21,electric_heater,PRT_2,heat,twh,0.0469410686552992
21,hp,PRT_1,heat,twh,8.82375019389815
21,hp,PRT_2,heat,twh,10.656370977653111
21,methane_boiler,PRT_1,heat,twh,0.0214192985303935
21,methane_boiler,PRT_2,heat,twh,0.006758243322538
22,biofuel_boiler,PRT_1,heat,twh,0.0576890667915334
22,biofuel_boiler,PRT_2,heat,twh,0.0074720609399254
22,electric_heater,PRT_1,heat,twh,0.0133696335288507
22,electric_heater,PRT_2,heat,twh,0.0167560302378219
22,hp,PRT_1,heat,twh,8.899849642011429
22,hp,PRT_2,heat,twh,10.7062580120731
22,methane_boiler,PRT_1,heat,twh,0.0101173769816365
22,methane_boiler,PRT_2,heat,twh,0.002707484030684
23,biofuel_boiler,PRT_1,heat,twh,0.6099340059662182
23,biofuel_boiler,PRT_2,heat,twh,0.0755081506790793
23,electric_heater,PRT_1,heat,twh,0.0904996937199328
23,electric_heater,PRT_2,heat,twh,0.117062861424549
23,hp,PRT_1,heat,twh,8.098949948808446
