spores,unit,import_dependency
84,non-dimensional,0.08951817500921173
85,non-dimensional,0.06873669063081128
86,non-dimensional,0.08952055517605047
87,non-dimensional,0.06875552680378619
88,non-dimensional,0.08951714074001754
89,non-dimensional,0.06875908352334918
90,non-dimensional,0.08951968317680926
91,non-dimensional,0.15611124956144545
92,non-dimensional,0.10598467048974812
93,non-dimensional,0.14766919804003303
94,non-dimensional,0.10651436932620165
95,non-dimensional,0.14700300065839245
96,non-dimensional,0.10642894850781397
97,non-dimensional,0.14752910757293955
98,non-dimensional,0.10636147099605944
99,non-dimensional,0.14675058898439308
100,non-dimensional,0.10657784149499183
101,non-dimensional,0.13852523605726544
102,non-dimensional,0.10625126449924183
103,non-dimensional,0.129500789544417
104,non-dimensional,0.10677021030228664
105,non-dimensional,0.12903771050479793
106,non-dimensional,0.11184473689624888
107,non-dimensional,0.12443521151411471
108,non-dimensional,0.1114064617516803
109,non-dimensional,0.12233331457880146
110,non-dimensional,0.1095379123767627
111,non-dimensional,0.05110713237348237
112,non-dimensional,0.052448097280195616
113,non-dimensional,0.048096878286814686
114,non-dimensional,0.05452064822110665
115,non-dimensional,0.047252247951027934
116,non-dimensional,0.05450674257778325
117,non-dimensional,0.04482100760830866
118,non-dimensional,0.050302241930636114
119,non-dimensional,0.05269637366345858
120,non-dimensional,0.053109477742027594
121,non-dimensional,0.02376297639409007
122,non-dimensional,0.03616532653969811
123,non-dimensional,0.03354773215404937
124,non-dimensional,0.030223704613883944
125,non-dimensional,0.03593443871560434
126,non-dimensional,0.029323830989778026
127,non-dimensional,0.03601701777754429
128,non-dimensional,0.028358424690848615
129,non-dimensional,0.0405055745741961
130,non-dimensional,0.030003021510102746
131,non-dimensional,0.05103372908530326
132,non-dimensional,0.057043804345435115
133,non-dimensional,0.04374351051220476
134,non-dimensional,0.05787949627892047
135,non-dimensional,0.04714773426613709
136,non-dimensional,0.052287157909957985
137,non-dimensional,0.04793042376292971
138,non-dimensional,0.05358241929618854
139,non-dimensional,0.04719011971870963
140,non-dimensional,0.055903093721411494
141,non-dimensional,0.04441574349244439
142,non-dimensional,0.035288996149731876
143,non-dimensional,0.043790179589959996
144,non-dimensional,0.0349426682599728
145,non-dimensional,0.04375868568415399
146,non-dimensional,0.035077710064249056
147,non-dimensional,0.04194345280223075
148,non-dimensional,0.034126325688737726
149,non-dimensional,0.04259820155815163
150,non-dimensional,0.0345505440208295
151,non-dimensional,0.02901266593836789
152,non-dimensional,0.029012949661480828
153,non-dimensional,0.02901277733352096
154,non-dimensional,0.029013164633513562
155,non-dimensional,0.029013466422566282
156,non-dimensional,0.02901258977445032
157,non-dimensional,0.029013264402076886
158,non-dimensional,0.029012741398155573
159,non-dimensional,0.029013197472194118
160,non-dimensional,0.029012853535483756
161,non-dimensional,0.03164472177973991
162,non-dimensional,0.03226152696525212
163,non-dimensional,0.031706970848664785
164,non-dimensional,0.03225869319598727
165,non-dimensional,0.03170725658487858
166,non-dimensional,0.032261673028799766
167,non-dimensional,0.03172408045745132
168,non-dimensional,0.0322568273998483
169,non-dimensional,0.031717214764520246
170,non-dimensional,0.03225857890547199
171,non-dimensional,0.04419597131791283
172,non-dimensional,0.044226346493727156
173,non-dimensional,0.044197974406816554
174,non-dimensional,0.04423005048790712
175,non-dimensional,0.044192890217514866
176,non-dimensional,0.04422964402150744
177,non-dimensional,0.04419181082431847
178,non-dimensional,0.04423342742827781
179,non-dimensional,0.04419016329070334
180,non-dimensional,0.04423104102910339
181,non-dimensional,0.0003255567578251091
182,non-dimensional,0.00030137424724703706
183,non-dimensional,0.000307006894136017
184,non-dimensional,0.00031135970736573867
185,non-dimensional,0.0003067218817531821
186,non-dimensional,0.0003114302349923137
187,non-dimensional,0.0003065709838028818
188,non-dimensional,0.0003113182362783368
189,non-dimensional,0.00030661560200188534
190,non-dimensional,0.0003113820955758805
191,non-dimensional,0.000325287756079635
192,non-dimensional,0.0003012119877652399
193,non-dimensional,0.0003069464243755005
194,non-dimensional,0.00031132312439252543
195,non-dimensional,0.0003064333296887841
196,non-dimensional,0.0003113131596987177
197,non-dimensional,0.00030643487962319044
198,non-dimensional,0.000311323124740609
199,non-dimensional,0.0003065408945025409
200,non-dimensional,0.00031128787903839556
201,non-dimensional,0.030218769109488362
202,non-dimensional,0.029007715119165587
203,non-dimensional,0.02949887742536298
204,non-dimensional,0.02901038565994504
205,non-dimensional,0.02949915493332172
206,non-dimensional,0.02900904352706578
207,non-dimensional,0.029496843654922705
208,non-dimensional,0.029008776833802246
209,non-dimensional,0.029497537821948045
210,non-dimensional,0.02901173077800495
211,non-dimensional,0.002021552680373252
212,non-dimensional,0.002002818541643601
213,non-dimensional,0.0019935271767451807
214,non-dimensional,0.0020052324798901793
215,non-dimensional,0.002001119410455269
216,non-dimensional,0.002006690141413397
217,non-dimensional,0.0019964420869559153
218,non-dimensional,0.001998427666305597
219,non-dimensional,0.002006117683287102
