spores,techs,locs,carriers,unit,nameplate_capacity
2,roof_mounted_pv,PRT-10_1,electricity,gw,0.0030541483468134725
2,roof_mounted_pv,PRT-11_1,electricity,gw,0.003814029847405329
2,roof_mounted_pv,PRT-12_1,electricity,gw,0.0030816073729523705
2,roof_mounted_pv,PRT-14_1,electricity,gw,0.003136519135267122
2,roof_mounted_pv,PRT-15_1,electricity,gw,0.002947121932614901
2,roof_mounted_pv,PRT-16_1,electricity,gw,0.003076855123451169
2,roof_mounted_pv,PRT-17_1,electricity,gw,0.003017502376298206
2,roof_mounted_pv,PRT-18_1,electricity,gw,0.00322683387177313
2,roof_mounted_pv,PRT-19_1,electricity,gw,0.0029345828201979645
2,roof_mounted_pv,PRT-20_1,electricity,gw,0.003325260126666299
2,roof_mounted_pv,PRT-3_1,electricity,gw,0.0033092152779363756
2,roof_mounted_pv,PRT-4_1,electricity,gw,0.002853978478895604
2,roof_mounted_pv,PRT-5_1,electricity,gw,0.003208221136299085
2,roof_mounted_pv,PRT-6_1,electricity,gw,0.003099347457222202
2,roof_mounted_pv,PRT-7_1,electricity,gw,0.003105903398367944
2,roof_mounted_pv,PRT-8_1,electricity,gw,0.00329068685632371
2,roof_mounted_pv,PRT-9_1,electricity,gw,0.003997319491711237
2,wind_offshore,PRT-11_1,electricity,gw,0.005000028922459473
2,wind_offshore,PRT-12_1,electricity,gw,0.004451143741905445
2,wind_offshore,PRT-15_1,electricity,gw,0.005268451567851904
2,wind_offshore,PRT-16_1,electricity,gw,0.005098785818906297
2,wind_offshore,PRT-17_1,electricity,gw,0.005547334330728385
2,wind_offshore,PRT-18_1,electricity,gw,0.004826981667013079
2,wind_offshore,PRT-1_1,electricity,gw,0.0006586746740360629
2,wind_offshore,PRT-20_1,electricity,gw,0.00862661869039608
2,wind_offshore,PRT-3_1,electricity,gw,0.005064177176595234
2,wind_offshore,PRT-4_1,electricity,gw,0.0053633021073359955
2,wind_offshore,PRT-7_1,electricity,gw,0.004680913942280424
2,wind_offshore,PRT-9_1,electricity,gw,0.005217746441769583
2,wind_onshore,PRT-10_1,electricity,gw,0.03340076441727009
2,wind_onshore,PRT-11_1,electricity,gw,5.5558909503226
2,wind_onshore,PRT-12_1,electricity,gw,1.6216816024428
2,wind_onshore,PRT-14_1,electricity,gw,0.012034044919718635
2,wind_onshore,PRT-15_1,electricity,gw,0.019256930840858395
2,wind_onshore,PRT-16_1,electricity,gw,0.019946790233202998
2,wind_onshore,PRT-17_1,electricity,gw,2.6556874350824002
2,wind_onshore,PRT-18_1,electricity,gw,0.01901036762896621
2,wind_onshore,PRT-19_1,electricity,gw,0.01176439571232836
2,wind_onshore,PRT-1_1,electricity,gw,0.0014967683437303973
2,wind_onshore,PRT-20_1,electricity,gw,0.015134774857654366
2,wind_onshore,PRT-3_1,electricity,gw,3.9985879494040004
2,wind_onshore,PRT-4_1,electricity,gw,0.02134144010963727
2,wind_onshore,PRT-5_1,electricity,gw,0.01327450110711504
2,wind_onshore,PRT-6_1,electricity,gw,0.03014794986259044
2,wind_onshore,PRT-7_1,electricity,gw,0.018723298729088438
2,wind_onshore,PRT-8_1,electricity,gw,0.01652061283953272
2,wind_onshore,PRT-9_1,electricity,gw,9.9996528106406
3,battery,PRT_1,electricity,gw,0.008324087698674642
3,battery,PRT_2,electricity,gw,0.020851527623139837
3,ccgt,PRT_1,electricity,gw,0.00430482161037401
3,ccgt,PRT_2,electricity,gw,0.049776252851220164
3,chp_biofuel_extraction,PRT_1,electricity,gw,0.011372284610250435
3,chp_biofuel_extraction,PRT_1,heat,gw,0.01758546061345402
3,chp_biofuel_extraction,PRT_2,electricity,gw,0.005245880940180804
3,chp_biofuel_extraction,PRT_2,heat,gw,0.007332158496236868
3,chp_hydrogen,PRT_1,electricity,gw,0.002029060730085765
3,chp_hydrogen,PRT_1,heat,gw,0.0028530286342929524
3,chp_hydrogen,PRT_2,electricity,gw,0.0022364975604025686
3,chp_hydrogen,PRT_2,heat,gw,0.004394288646537286
3,chp_methane_extraction,PRT_1,electricity,gw,0.008325471350153553
3,chp_methane_extraction,PRT_1,heat,gw,0.002669243888199062
3,chp_methane_extraction,PRT_2,electricity,gw,0.006049373321321462
3,chp_methane_extraction,PRT_2,heat,gw,0.0015230733083361836
3,chp_wte_back_pressure,PRT_1,electricity,gw,0.09766744999949906
3,chp_wte_back_pressure,PRT_1,heat,gw,0.0018919510253565224
3,chp_wte_back_pressure,PRT_2,electricity,gw,0.09567682351310927
3,chp_wte_back_pressure,PRT_2,heat,gw,0.0024621967638478156
3,electrolysis,PRT_1,hydrogen,gw,3.7628107569894
3,electrolysis,PRT_2,hydrogen,gw,0.0009459427288753309
3,existing_pv,PRT-10_1,electricity,gw,0.2
