spores,techs,locs,carriers,unit,generated_district_heat
36,chp_hydrogen,PRT_1,heat,twh,0.0420448354183669
36,chp_hydrogen,PRT_2,heat,twh,0.0424084925687697
36,chp_methane_extraction,PRT_1,heat,twh,0.0309832374483898
36,chp_methane_extraction,PRT_2,heat,twh,0.0188447423895732
36,chp_wte_back_pressure,PRT_1,heat,twh,0.0205219291174522
36,chp_wte_back_pressure,PRT_2,heat,twh,0.0207924600595793
37,chp_biofuel_extraction,PRT_1,heat,twh,0.182868824547971
37,chp_biofuel_extraction,PRT_2,heat,twh,0.0985580607252769
37,chp_hydrogen,PRT_1,heat,twh,0.0334887621850853
37,chp_hydrogen,PRT_2,heat,twh,0.0342607591244228
37,chp_methane_extraction,PRT_1,heat,twh,0.0250126783319948
37,chp_methane_extraction,PRT_2,heat,twh,0.0133411271869418
37,chp_wte_back_pressure,PRT_1,heat,twh,0.0146025294963394
37,chp_wte_back_pressure,PRT_2,heat,twh,0.0151214168056038
38,chp_biofuel_extraction,PRT_1,heat,twh,0.1077150150147152
38,chp_biofuel_extraction,PRT_2,heat,twh,0.0453014718455921
38,chp_hydrogen,PRT_1,heat,twh,0.0167122639446503
38,chp_hydrogen,PRT_2,heat,twh,0.0167125337623873
38,chp_methane_extraction,PRT_1,heat,twh,0.0179660371471695
38,chp_methane_extraction,PRT_2,heat,twh,0.0081662093612986
38,chp_wte_back_pressure,PRT_1,heat,twh,0.0117860644334146
38,chp_wte_back_pressure,PRT_2,heat,twh,0.0124331231502467
39,chp_biofuel_extraction,PRT_1,heat,twh,0.1745694389249054
39,chp_biofuel_extraction,PRT_2,heat,twh,0.0934073729749675
39,chp_hydrogen,PRT_1,heat,twh,0.0389828634530821
39,chp_hydrogen,PRT_2,heat,twh,0.0370982667448211
39,chp_methane_extraction,PRT_1,heat,twh,0.0329028054345337
39,chp_methane_extraction,PRT_2,heat,twh,0.0182973129602381
39,chp_wte_back_pressure,PRT_1,heat,twh,0.022247973808388
39,chp_wte_back_pressure,PRT_2,heat,twh,0.0225208718124426
40,chp_biofuel_extraction,PRT_1,heat,twh,0.3051874608707671
40,chp_biofuel_extraction,PRT_2,heat,twh,0.2366727908889154
40,chp_hydrogen,PRT_1,heat,twh,0.0868155088846534
40,chp_hydrogen,PRT_2,heat,twh,0.0877218865191095
40,chp_methane_extraction,PRT_1,heat,twh,0.0550012679749041
40,chp_methane_extraction,PRT_2,heat,twh,0.0396611549773196
40,chp_wte_back_pressure,PRT_1,heat,twh,0.0435408687993193
40,chp_wte_back_pressure,PRT_2,heat,twh,0.0459328402346075
41,chp_biofuel_extraction,PRT_1,heat,twh,0.3266996839599738
41,chp_biofuel_extraction,PRT_2,heat,twh,0.1722051623320791
