spores,techs,locs,carriers,unit,generated_road_transport
18,heavy_transport_ev,PRT_1,transport,billion_km,1.0756821444191478
18,heavy_transport_ev,PRT_2,transport,billion_km,1.2546052599560356
18,heavy_transport_ice,PRT_1,transport,billion_km,0.0081823632095228
18,heavy_transport_ice,PRT_2,transport,billion_km,0.0027529298445725
18,light_transport_ev,PRT_1,transport,billion_km,37.63712257638767
18,light_transport_ev,PRT_2,transport,billion_km,39.904901185702194
18,light_transport_ice,PRT_1,transport,billion_km,0.0517311599434148
18,light_transport_ice,PRT_2,transport,billion_km,0.0192286420532739
19,heavy_transport_ev,PRT_1,transport,billion_km,1.075316646174717
19,heavy_transport_ev,PRT_2,transport,billion_km,1.2542518957667326
19,heavy_transport_ice,PRT_1,transport,billion_km,0.0085469337183001
19,heavy_transport_ice,PRT_2,transport,billion_km,0.0031053662901621
19,light_transport_ev,PRT_1,transport,billion_km,37.63483510395495
19,light_transport_ev,PRT_2,transport,billion_km,39.90250525881428
19,light_transport_ice,PRT_1,transport,billion_km,0.0540149214513545
19,light_transport_ice,PRT_2,transport,billion_km,0.0216208576794983
20,heavy_transport_ev,PRT_1,transport,billion_km,1.0755651265106434
20,heavy_transport_ev,PRT_2,transport,billion_km,1.254015104320664
20,heavy_transport_ice,PRT_1,transport,billion_km,0.0082996401162542
20,heavy_transport_ice,PRT_2,transport,billion_km,0.0033433444797812
20,light_transport_ev,PRT_1,transport,billion_km,37.63413747477238
20,light_transport_ev,PRT_2,transport,billion_km,39.90033979982583
20,light_transport_ice,PRT_1,transport,billion_km,0.0547172976572677
20,light_transport_ice,PRT_2,transport,billion_km,0.0237910631319642
21,heavy_transport_ev,PRT_1,transport,billion_km,1.0767507332038568
21,heavy_transport_ev,PRT_2,transport,billion_km,1.2542252453752327
21,heavy_transport_ice,PRT_1,transport,billion_km,0.0071137307649393
21,heavy_transport_ice,PRT_2,transport,billion_km,0.0031329007645918
21,light_transport_ev,PRT_1,transport,billion_km,37.642967537640224
21,light_transport_ev,PRT_2,transport,billion_km,39.90215413086766
21,light_transport_ice,PRT_1,transport,billion_km,0.0458860240991235
21,light_transport_ice,PRT_2,transport,billion_km,0.0219755208639209
22,heavy_transport_ev,PRT_1,transport,billion_km,1.0771312840064626
22,heavy_transport_ev,PRT_2,transport,billion_km,1.254334278574043
22,heavy_transport_ice,PRT_1,transport,billion_km,0.006736028516426
22,heavy_transport_ice,PRT_2,transport,billion_km,0.0030267161173017
22,light_transport_ev,PRT_1,transport,billion_km,37.64569581432071
22,light_transport_ev,PRT_2,transport,billion_km,39.90346663531703
22,light_transport_ice,PRT_1,transport,billion_km,0.0431691414703467
22,light_transport_ice,PRT_2,transport,billion_km,0.0206744113520762
23,heavy_transport_ev,PRT_1,transport,billion_km,1.0754255477250425
23,heavy_transport_ev,PRT_2,transport,billion_km,1.2537498224599977
23,heavy_transport_ice,PRT_1,transport,billion_km,0.0084670303747004
23,heavy_transport_ice,PRT_2,transport,billion_km,0.0036364378072638
23,light_transport_ev,PRT_1,transport,billion_km,37.6344992929324
23,light_transport_ev,PRT_2,transport,billion_km,39.89907886815044
23,light_transport_ice,PRT_1,transport,billion_km,0.0544667252284855
23,light_transport_ice,PRT_2,transport,billion_km,0.0251632403601891
24,heavy_transport_ev,PRT_1,transport,billion_km,1.0711474446118068
24,heavy_transport_ev,PRT_2,transport,billion_km,1.2537662846955215
24,heavy_transport_ice,PRT_1,transport,billion_km,0.0127182796781748
24,heavy_transport_ice,PRT_2,transport,billion_km,0.0035931217625575
24,light_transport_ev,PRT_1,transport,billion_km,37.61040169417903
24,light_transport_ev,PRT_2,transport,billion_km,39.89898885558874
24,light_transport_ice,PRT_1,transport,billion_km,0.0784569090168486
24,light_transport_ice,PRT_2,transport,billion_km,0.0251458379314868
25,heavy_transport_ev,PRT_1,transport,billion_km,0.7929870744609882
25,heavy_transport_ev,PRT_2,transport,billion_km,1.2557417523323529
25,heavy_transport_ice,PRT_1,transport,billion_km,0.2908760731900463
25,heavy_transport_ice,PRT_2,transport,billion_km,0.0016150774953983
25,light_transport_ev,PRT_1,transport,billion_km,37.39176312900614
25,light_transport_ev,PRT_2,transport,billion_km,39.912526197556495
25,light_transport_ice,PRT_1,transport,billion_km,0.2970851680937773
25,light_transport_ice,PRT_2,transport,billion_km,0.0115981897504069
26,heavy_transport_ev,PRT_1,transport,billion_km,1.0752286594742808
26,heavy_transport_ev,PRT_2,transport,billion_km,1.2527104552379065
26,heavy_transport_ice,PRT_1,transport,billion_km,0.0086533065587975
26,heavy_transport_ice,PRT_2,transport,billion_km,0.0046651929612994
26,light_transport_ev,PRT_1,transport,billion_km,37.63241137819666
26,light_transport_ev,PRT_2,transport,billion_km,39.8919749003651
26,light_transport_ice,PRT_1,transport,billion_km,0.056512191943038
26,light_transport_ice,PRT_2,transport,billion_km,0.0322247594050604
27,heavy_transport_ev,PRT_1,transport,billion_km,1.072183038926697
27,heavy_transport_ev,PRT_2,transport,billion_km,1.2537251658507491
27,heavy_transport_ice,PRT_1,transport,billion_km,0.0116807225321643
27,heavy_transport_ice,PRT_2,transport,billion_km,0.0036322777809169
27,light_transport_ev,PRT_1,transport,billion_km,37.61633060010512
27,light_transport_ev,PRT_2,transport,billion_km,39.89858098677547
27,light_transport_ice,PRT_1,transport,billion_km,0.0725201516757018
27,light_transport_ice,PRT_2,transport,billion_km,0.0255458555288451
28,heavy_transport_ev,PRT_1,transport,billion_km,1.0730582936509176
28,heavy_transport_ev,PRT_2,transport,billion_km,1.252708353583722
28,heavy_transport_ice,PRT_1,transport,billion_km,0.010818888322545
28,heavy_transport_ice,PRT_2,transport,billion_km,0.0046625105595658
28,light_transport_ev,PRT_1,transport,billion_km,37.6198964580949
28,light_transport_ev,PRT_2,transport,billion_km,39.89173574155371
28,light_transport_ice,PRT_1,transport,billion_km,0.0690079755080708
28,light_transport_ice,PRT_2,transport,billion_km,0.0324447829218552
29,heavy_transport_ev,PRT_1,transport,billion_km,0.7917765022314414
29,heavy_transport_ev,PRT_2,transport,billion_km,1.2562388936111917
29,heavy_transport_ice,PRT_1,transport,billion_km,0.292086256869723
29,heavy_transport_ice,PRT_2,transport,billion_km,0.0011175476725871
29,light_transport_ev,PRT_1,transport,billion_km,37.33906537856579
29,light_transport_ev,PRT_2,transport,billion_km,39.91603401947817
29,light_transport_ice,PRT_1,transport,billion_km,0.349781364313079
29,light_transport_ice,PRT_2,transport,billion_km,0.0080888129862535
30,heavy_transport_ev,PRT_1,transport,billion_km,1.0762715063651689
30,heavy_transport_ev,PRT_2,transport,billion_km,1.2533965041562027
30,heavy_transport_ice,PRT_1,transport,billion_km,0.0075917653034471
30,heavy_transport_ice,PRT_2,transport,billion_km,0.0039604496827884
30,light_transport_ev,PRT_1,transport,billion_km,37.6390619575963
30,light_transport_ev,PRT_2,transport,billion_km,39.89674148042928
30,light_transport_ice,PRT_1,transport,billion_km,0.0497868349466108
30,light_transport_ice,PRT_2,transport,billion_km,0.0273834018328042
31,heavy_transport_ev,PRT_1,transport,billion_km,1.0724491548779338
31,heavy_transport_ev,PRT_2,transport,billion_km,1.2530829155288927
31,heavy_transport_ice,PRT_1,transport,billion_km,0.0114134637881696
31,heavy_transport_ice,PRT_2,transport,billion_km,0.0042733853035825
31,light_transport_ev,PRT_1,transport,billion_km,37.61655696157971
31,light_transport_ev,PRT_2,transport,billion_km,39.8942941977218
31,light_transport_ice,PRT_1,transport,billion_km,0.0722892190522274
31,light_transport_ice,PRT_2,transport,billion_km,0.029828073872474
32,heavy_transport_ev,PRT_1,transport,billion_km,1.0761541063844906
32,heavy_transport_ev,PRT_2,transport,billion_km,1.2548291746950206
32,heavy_transport_ice,PRT_1,transport,billion_km,0.007708417466221
32,heavy_transport_ice,PRT_2,transport,billion_km,0.0025270313277785
32,light_transport_ev,PRT_1,transport,billion_km,37.64083509323538
32,light_transport_ev,PRT_2,transport,billion_km,39.90625991016902
32,light_transport_ice,PRT_1,transport,billion_km,0.0480107081322104
32,light_transport_ice,PRT_2,transport,billion_km,0.017861981357741
33,heavy_transport_ev,PRT_1,transport,billion_km,1.0687064525374288
33,heavy_transport_ev,PRT_2,transport,billion_km,1.2532861255195105
33,heavy_transport_ice,PRT_1,transport,billion_km,0.0151578870407893
33,heavy_transport_ice,PRT_2,transport,billion_km,0.0040718962297434
