spores,locs,carriers,unit,electrification_rate_road_transport
86,PRT_2,transport,fraction,0.9999929589254228
87,PRT_1,transport,fraction,0.9999919152363365
87,PRT_2,transport,fraction,0.9999945761425728
88,PRT_1,transport,fraction,0.9999972269480127
88,PRT_2,transport,fraction,0.9999975785851842
89,PRT_1,transport,fraction,0.9999988591042835
89,PRT_2,transport,fraction,0.9999992428796689
90,PRT_1,transport,fraction,0.9999988600732564
90,PRT_2,transport,fraction,0.999999206968903
91,PRT_1,transport,fraction,0.9999818683641182
91,PRT_2,transport,fraction,0.9999725043704799
92,PRT_1,transport,fraction,0.9999731206077787
92,PRT_2,transport,fraction,0.9999745254625123
93,PRT_1,transport,fraction,0.999972763782074
93,PRT_2,transport,fraction,0.999982381717836
94,PRT_1,transport,fraction,0.9999648897364655
94,PRT_2,transport,fraction,0.9999789521299166
95,PRT_1,transport,fraction,0.9999965506021701
95,PRT_2,transport,fraction,0.9999978748333211
96,PRT_1,transport,fraction,0.9999535465795135
96,PRT_2,transport,fraction,0.9999744738412341
97,PRT_1,transport,fraction,0.999995177281791
97,PRT_2,transport,fraction,0.9999975048149132
98,PRT_1,transport,fraction,0.9999960595769352
98,PRT_2,transport,fraction,0.9999979828794111
99,PRT_1,transport,fraction,0.9999960802541749
99,PRT_2,transport,fraction,0.9999979981572356
100,PRT_1,transport,fraction,0.9999959816744218
100,PRT_2,transport,fraction,0.9999977389811805
101,PRT_1,transport,fraction,0.9999978567776766
101,PRT_2,transport,fraction,0.9999980571818714
102,PRT_1,transport,fraction,0.9999987456963733
102,PRT_2,transport,fraction,0.9999984972833004
103,PRT_1,transport,fraction,0.9999985935710891
103,PRT_2,transport,fraction,0.9999985411332865
104,PRT_1,transport,fraction,0.9999983384785449
104,PRT_2,transport,fraction,0.999998817136929
105,PRT_1,transport,fraction,0.9999980815171438
105,PRT_2,transport,fraction,0.9999985270323475
106,PRT_1,transport,fraction,0.9999983566314091
106,PRT_2,transport,fraction,0.999998695151249
107,PRT_1,transport,fraction,0.9999989477838164
107,PRT_2,transport,fraction,0.9999990934429736
108,PRT_1,transport,fraction,0.9999989670847624
108,PRT_2,transport,fraction,0.9999991992771993
109,PRT_1,transport,fraction,0.9999967286773487
109,PRT_2,transport,fraction,0.9999979717276988
110,PRT_1,transport,fraction,0.9999977648220101
110,PRT_2,transport,fraction,0.9999983910344881
111,PRT_1,transport,fraction,0.9999960262762526
