spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
43,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0023576513016996
43,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0023576513016996
43,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999996205715003
43,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999996205715003
44,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0005412106283997
44,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0005412106283997
44,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999990630346
44,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999990630346
45,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004460057807
45,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004460057807
45,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999522493
45,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999522493
46,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000930112379
46,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000930112379
46,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998515274005
46,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998515274005
47,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0016823776583
47,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0016823776583
47,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999996986981996
47,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999996986981996
48,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0015675596452
48,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0015675596452
48,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999858056018995
48,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999858056018995
49,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0014550347169
49,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0014550347169
49,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999992788689
49,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999992788689
50,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001441177059
50,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001441177059
50,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000000145648
50,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000000145648
51,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000514471519
51,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000514471519
51,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000067915211
51,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000067915211
52,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0002028590660004
52,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0002028590660004
52,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000045696906
52,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000045696906
53,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0002434467938
53,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0002434467938
53,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000049824012
53,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000049824012
54,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000697685845
54,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000697685845
54,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999993765818003
54,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999993765818003
55,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000166772915002
55,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000166772915002
55,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000000441402601
55,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000000441402601
56,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000127249489004
56,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000127249489004
56,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000002742084
56,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000002742084
57,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000074582011997
57,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000074582011997
57,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000000029353
57,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000000029353
58,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000224435237
58,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000224435237
58,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000005554005
58,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000005554005
59,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000040227422002
59,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000040227422002
59,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999949445
59,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999949445
60,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000119663598
60,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000119663598
60,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999575427
60,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999575427
61,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000073356887
61,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000073356887
61,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999799624
61,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999799624
62,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0015733394508
62,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0015733394508
62,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999992067204
62,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999992067204
63,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000052499117
63,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000052499117
63,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000046001664
63,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000046001664
64,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001044087043
64,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001044087043
64,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000119299655
64,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000119299655
65,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000007661511
65,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000007661511
65,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000000973900501
65,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000000973900501
66,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000782229198
66,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000782229198
66,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999960803047996
66,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999960803047996
67,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000078989181
67,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000078989181
67,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000000194594801
67,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000000194594801
68,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000037357836997
68,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000037357836997
68,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999971562
68,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999971562
69,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000023074208
69,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000023074208
69,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997708427
69,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997708427
70,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000576090281
70,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000576090281
70,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999991485108
70,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999991485108
71,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000109517469
71,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000109517469
71,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000003802445
71,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000003802445
72,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999998962619
72,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999998962619
72,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000367600143
72,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000367600143
73,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000660014006
73,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000660014006
73,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000001986561005
73,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000001986561005
74,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999999600466998
74,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999999600466998
74,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000000289262
74,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000000289262
75,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.000003572413
75,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.000003572413
75,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000000669232801
75,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000000669232801
76,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000475377255
76,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000475377255
76,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999996990634
76,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999996990634
77,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000139245402
77,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000139245402
77,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999884323003
77,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999884323003
78,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999999230404
78,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999999230404
78,ac_transmission,PRT_1,gw,electricity,PRT_2,3.999999932287
78,ac_transmission,PRT_2,gw,electricity,PRT_1,3.999999932287
79,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000055232054
79,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000055232054
79,ac_transmission,PRT_1,gw,electricity,PRT_2,3.99999997484
79,ac_transmission,PRT_2,gw,electricity,PRT_1,3.99999997484
80,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000031007647
80,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000031007647
80,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999786647003
80,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999786647003
81,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.3158753777318997
81,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.3158753777318997
81,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000830702877
81,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000830702877
82,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.1828645731935
82,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.1828645731935
82,ac_transmission,PRT_1,gw,electricity,PRT_2,4.4113081414352004
82,ac_transmission,PRT_2,gw,electricity,PRT_1,4.4113081414352004
83,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.3166233325104
83,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.3166233325104
83,ac_transmission,PRT_1,gw,electricity,PRT_2,4.1330025776342
83,ac_transmission,PRT_2,gw,electricity,PRT_1,4.1330025776342
84,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.6730587275052002
84,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.6730587275052002
84,ac_transmission,PRT_1,gw,electricity,PRT_2,4.091292554125
84,ac_transmission,PRT_2,gw,electricity,PRT_1,4.091292554125
85,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.4988425611163
85,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.4988425611163
85,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000121627087
85,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000121627087
86,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.7956223167235996
86,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.7956223167235996
86,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999995014538
86,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999995014538
87,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.1513715752868
87,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.1513715752868
87,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999994345353995
87,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999994345353995
88,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000335518605
88,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000335518605
88,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997077847005
88,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997077847005
89,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001080297795997
89,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001080297795997
89,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998403761996
89,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998403761996
90,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0988384263356
90,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0988384263356
90,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998796616003
90,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998796616003
91,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,4.6544790024723
91,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,4.6544790024723
91,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000401991935
91,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000401991935
